"REF_DATE","GEO","DGUID","Sex","Pre-admission experience","Immigrant admission category","Years since admission","Income type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035360957","1.1.1.1.1.6.3","28700","","","","0"
"2016","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035360957","1.1.1.1.1.6.3","28300","","","","0"
"2001","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035360958","1.1.1.1.1.6.4","7800","","","","0"
"2002","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035360958","1.1.1.1.1.6.4","8100","","","","0"
"2003","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035360958","1.1.1.1.1.6.4","7500","","","","0"
"2004","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035360958","1.1.1.1.1.6.4","8300","","","","0"
"2005","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035360958","1.1.1.1.1.6.4","8500","","","","0"
"2006","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035360958","1.1.1.1.1.6.4","9500","","","","0"
"2007","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035360958","1.1.1.1.1.6.4","9900","","","","0"
"2008","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035360958","1.1.1.1.1.6.4","10700","","","","0"
"2009","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035360958","1.1.1.1.1.6.4","11000","","","","0"
"2010","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035360958","1.1.1.1.1.6.4","11100","","","","0"
"2011","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035360958","1.1.1.1.1.6.4","11200","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035360958","1.1.1.1.1.6.4","12700","","","","0"
"2013","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035360958","1.1.1.1.1.6.4","13700","","","","0"
"2014","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035360958","1.1.1.1.1.6.4","17900","","","","0"
"2015","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035360958","1.1.1.1.1.6.4","17800","","","","0"
"2016","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035360958","1.1.1.1.1.6.4","17200","","","","0"
"2001","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total count","Persons","249","units","0","v1035361219","1.1.1.2.1.6.1","45790","","","","0"
"2002","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total count","Persons","249","units","0","v1035361219","1.1.1.2.1.6.1","45460","","","","0"
"2003","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total count","Persons","249","units","0","v1035361219","1.1.1.2.1.6.1","49120","","","","0"
"2004","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total count","Persons","249","units","0","v1035361219","1.1.1.2.1.6.1","45030","","","","0"
"2005","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total count","Persons","249","units","0","v1035361219","1.1.1.2.1.6.1","45685","","","","0"
"2006","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total count","Persons","249","units","0","v1035361219","1.1.1.2.1.6.1","54845","","","","0"
"2007","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total count","Persons","249","units","0","v1035361219","1.1.1.2.1.6.1","52950","","","","0"
"2008","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total count","Persons","249","units","0","v1035361219","1.1.1.2.1.6.1","53205","","","","0"
"2009","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total count","Persons","249","units","0","v1035361219","1.1.1.2.1.6.1","53085","","","","0"
"2010","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total count","Persons","249","units","0","v1035361219","1.1.1.2.1.6.1","48095","","","","0"
"2011","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total count","Persons","249","units","0","v1035361219","1.1.1.2.1.6.1","45195","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total count","Persons","249","units","0","v1035361219","1.1.1.2.1.6.1","52270","","","","0"
"2013","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total count","Persons","249","units","0","v1035361219","1.1.1.2.1.6.1","62450","","","","0"
"2014","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total count","Persons","249","units","0","v1035361219","1.1.1.2.1.6.1","50380","","","","0"
"2015","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total count","Persons","249","units","0","v1035361219","1.1.1.2.1.6.1","48920","","","","0"
"2016","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total count","Persons","249","units","0","v1035361219","1.1.1.2.1.6.1","56090","","","","0"
"2001","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total with income","Persons","249","units","0","v1035361220","1.1.1.2.1.6.2","25885","","","","0"
"2002","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total with income","Persons","249","units","0","v1035361220","1.1.1.2.1.6.2","25330","","","","0"
"2003","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total with income","Persons","249","units","0","v1035361220","1.1.1.2.1.6.2","26130","","","","0"
"2004","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total with income","Persons","249","units","0","v1035361220","1.1.1.2.1.6.2","24855","","","","0"
"2005","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total with income","Persons","249","units","0","v1035361220","1.1.1.2.1.6.2","25365","","","","0"
"2006","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total with income","Persons","249","units","0","v1035361220","1.1.1.2.1.6.2","32305","","","","0"
"2007","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total with income","Persons","249","units","0","v1035361220","1.1.1.2.1.6.2","32335","","","","0"
"2008","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total with income","Persons","249","units","0","v1035361220","1.1.1.2.1.6.2","30805","","","","0"
"2009","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total with income","Persons","249","units","0","v1035361220","1.1.1.2.1.6.2","28735","","","","0"
"2010","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total with income","Persons","249","units","0","v1035361220","1.1.1.2.1.6.2","26065","","","","0"
"2011","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total with income","Persons","249","units","0","v1035361220","1.1.1.2.1.6.2","23960","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total with income","Persons","249","units","0","v1035361220","1.1.1.2.1.6.2","27185","","","","0"
"2013","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total with income","Persons","249","units","0","v1035361220","1.1.1.2.1.6.2","32365","","","","0"
"2014","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total with income","Persons","249","units","0","v1035361220","1.1.1.2.1.6.2","27845","","","","0"
"2015","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total with income","Persons","249","units","0","v1035361220","1.1.1.2.1.6.2","27275","","","","0"
"2016","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Total with income","Persons","249","units","0","v1035361220","1.1.1.2.1.6.2","32460","","","","0"
"2001","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035361221","1.1.1.2.1.6.3","13600","","","","0"
"2002","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035361221","1.1.1.2.1.6.3","12500","","","","0"
"2003","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035361221","1.1.1.2.1.6.3","12100","","","","0"
"2004","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035361221","1.1.1.2.1.6.3","12100","","","","0"
"2005","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035361221","1.1.1.2.1.6.3","12700","","","","0"
"2006","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035361221","1.1.1.2.1.6.3","13200","","","","0"
"2007","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035361221","1.1.1.2.1.6.3","14000","","","","0"
"2008","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035361221","1.1.1.2.1.6.3","14900","","","","0"
"2009","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035361221","1.1.1.2.1.6.3","14200","","","","0"
"2010","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035361221","1.1.1.2.1.6.3","13900","","","","0"
"2011","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035361221","1.1.1.2.1.6.3","14100","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035361221","1.1.1.2.1.6.3","15100","","","","0"
"2013","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035361221","1.1.1.2.1.6.3","15400","","","","0"
"2014","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035361221","1.1.1.2.1.6.3","16300","","","","0"
"2015","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035361221","1.1.1.2.1.6.3","16800","","","","0"
"2016","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035361221","1.1.1.2.1.6.3","18300","","","","0"
"2001","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035361222","1.1.1.2.1.6.4","8800","","","","0"
"2002","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035361222","1.1.1.2.1.6.4","8400","","","","0"
"2003","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035361222","1.1.1.2.1.6.4","7300","","","","0"
"2004","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035361222","1.1.1.2.1.6.4","7400","","","","0"
"2005","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035361222","1.1.1.2.1.6.4","7100","","","","0"
"2006","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035361222","1.1.1.2.1.6.4","8200","","","","0"
"2007","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035361222","1.1.1.2.1.6.4","8500","","","","0"
"2008","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035361222","1.1.1.2.1.6.4","8600","","","","0"
"2009","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035361222","1.1.1.2.1.6.4","8100","","","","0"
"2010","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035361222","1.1.1.2.1.6.4","8200","","","","0"
"2011","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035361222","1.1.1.2.1.6.4","8000","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035361222","1.1.1.2.1.6.4","8700","","","","0"
"2013","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035361222","1.1.1.2.1.6.4","8600","","","","0"
"2014","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035361222","1.1.1.2.1.6.4","9300","","","","0"
"2015","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035361222","1.1.1.2.1.6.4","9800","","","","0"
"2016","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Immigrants sponsored by family","0 years since admission","All income","Median with income","Dollars","81","units","0","v1035361222","1.1.1.2.1.6.4","10900","","","","0"
"2001","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Sponsored spouse or partner","0 years since admission","All income","Total count","Persons","249","units","0","v1035361483","1.1.1.3.1.6.1","29280","","","","0"
"2002","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Sponsored spouse or partner","0 years since admission","All income","Total count","Persons","249","units","0","v1035361483","1.1.1.3.1.6.1","27445","","","","0"
"2003","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Sponsored spouse or partner","0 years since admission","All income","Total count","Persons","249","units","0","v1035361483","1.1.1.3.1.6.1","33420","","","","0"
"2004","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Sponsored spouse or partner","0 years since admission","All income","Total count","Persons","249","units","0","v1035361483","1.1.1.3.1.6.1","34390","","","","0"
"2005","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Sponsored spouse or partner","0 years since admission","All income","Total count","Persons","249","units","0","v1035361483","1.1.1.3.1.6.1","35165","","","","0"
"2006","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Sponsored spouse or partner","0 years since admission","All income","Total count","Persons","249","units","0","v1035361483","1.1.1.3.1.6.1","35340","","","","0"
"2007","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Sponsored spouse or partner","0 years since admission","All income","Total count","Persons","249","units","0","v1035361483","1.1.1.3.1.6.1","35695","","","","0"
"2008","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Sponsored spouse or partner","0 years since admission","All income","Total count","Persons","249","units","0","v1035361483","1.1.1.3.1.6.1","35290","","","","0"
"2009","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Sponsored spouse or partner","0 years since admission","All income","Total count","Persons","249","units","0","v1035361483","1.1.1.3.1.6.1","34790","","","","0"
"2010","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Sponsored spouse or partner","0 years since admission","All income","Total count","Persons","249","units","0","v1035361483","1.1.1.3.1.6.1","32100","","","","0"
"2011","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Sponsored spouse or partner","0 years since admission","All income","Total count","Persons","249","units","0","v1035361483","1.1.1.3.1.6.1","30355","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Sponsored spouse or partner","0 years since admission","All income","Total count","Persons","249","units","0","v1035361483","1.1.1.3.1.6.1","31170","","","","0"
