"year","admission_category","statistics","value"
2013,"Immigrants sponsored by family","Mean with income",15400
2014,"Immigrants sponsored by family","Mean with income",16300
2015,"Immigrants sponsored by family","Mean with income",16800
2016,"Immigrants sponsored by family","Mean with income",18300
2001,"Immigrants sponsored by family","Median with income",8800
2002,"Immigrants sponsored by family","Median with income",8400
2003,"Immigrants sponsored by family","Median with income",7300
2004,"Immigrants sponsored by family","Median with income",7400
2005,"Immigrants sponsored by family","Median with income",7100
2006,"Immigrants sponsored by family","Median with income",8200
2007,"Immigrants sponsored by family","Median with income",8500
2008,"Immigrants sponsored by family","Median with income",8600
2009,"Immigrants sponsored by family","Median with income",8100
2010,"Immigrants sponsored by family","Median with income",8200
2011,"Immigrants sponsored by family","Median with income",8000
2012,"Immigrants sponsored by family","Median with income",8700
2013,"Immigrants sponsored by family","Median with income",8600
2014,"Immigrants sponsored by family","Median with income",9300
2015,"Immigrants sponsored by family","Median with income",9800
2016,"Immigrants sponsored by family","Median with income",10900
2001,"Sponsored spouse or partner","Total count",29280
2002,"Sponsored spouse or partner","Total count",27445
2003,"Sponsored spouse or partner","Total count",33420
2004,"Sponsored spouse or partner","Total count",34390
2005,"Sponsored spouse or partner","Total count",35165
2006,"Sponsored spouse or partner","Total count",35340
2007,"Sponsored spouse or partner","Total count",35695
2008,"Sponsored spouse or partner","Total count",35290
2009,"Sponsored spouse or partner","Total count",34790
2010,"Sponsored spouse or partner","Total count",32100
2011,"Sponsored spouse or partner","Total count",30355
2012,"Sponsored spouse or partner","Total count",31170
2013,"Sponsored spouse or partner","Total count",35420
2014,"Sponsored spouse or partner","Total count",35820
2015,"Sponsored spouse or partner","Total count",36950
2016,"Sponsored spouse or partner","Total count",44045
2001,"Sponsored spouse or partner","Total with income",17615
2002,"Sponsored spouse or partner","Total with income",16255
2003,"Sponsored spouse or partner","Total with income",18765
2004,"Sponsored spouse or partner","Total with income",19565
2005,"Sponsored spouse or partner","Total with income",20550
2006,"Sponsored spouse or partner","Total with income",21290
2007,"Sponsored spouse or partner","Total with income",22105
2008,"Sponsored spouse or partner","Total with income",20940
2009,"Sponsored spouse or partner","Total with income",19195
2010,"Sponsored spouse or partner","Total with income",17825
2011,"Sponsored spouse or partner","Total with income",16745
2012,"Sponsored spouse or partner","Total with income",17360
2013,"Sponsored spouse or partner","Total with income",20665
2014,"Sponsored spouse or partner","Total with income",21025
2015,"Sponsored spouse or partner","Total with income",21865
2016,"Sponsored spouse or partner","Total with income",27715
2001,"Sponsored spouse or partner","Mean with income",16200
2002,"Sponsored spouse or partner","Mean with income",15100
2003,"Sponsored spouse or partner","Mean with income",13800
2004,"Sponsored spouse or partner","Mean with income",13200
2005,"Sponsored spouse or partner","Mean with income",14100
2006,"Sponsored spouse or partner","Mean with income",14400
2007,"Sponsored spouse or partner","Mean with income",14900
2008,"Sponsored spouse or partner","Mean with income",16300
2009,"Sponsored spouse or partner","Mean with income",15600
2010,"Sponsored spouse or partner","Mean with income",14600
2011,"Sponsored spouse or partner","Mean with income",15300
2012,"Sponsored spouse or partner","Mean with income",17000
2013,"Sponsored spouse or partner","Mean with income",18600
2014,"Sponsored spouse or partner","Mean with income",18400
2015,"Sponsored spouse or partner","Mean with income",19000
2016,"Sponsored spouse or partner","Mean with income",20000
2001,"Sponsored spouse or partner","Median with income",10500
2002,"Sponsored spouse or partner","Median with income",9900
2003,"Sponsored spouse or partner","Median with income",7900
2004,"Sponsored spouse or partner","Median with income",7900
2005,"Sponsored spouse or partner","Median with income",8100
2006,"Sponsored spouse or partner","Median with income",8400
2007,"Sponsored spouse or partner","Median with income",8600
2008,"Sponsored spouse or partner","Median with income",9000
2009,"Sponsored spouse or partner","Median with income",8500
2010,"Sponsored spouse or partner","Median with income",8300
2011,"Sponsored spouse or partner","Median with income",8600
2012,"Sponsored spouse or partner","Median with income",9500
2013,"Sponsored spouse or partner","Median with income",10700
2014,"Sponsored spouse or partner","Median with income",10600
2015,"Sponsored spouse or partner","Median with income",11400
2016,"Sponsored spouse or partner","Median with income",12200
2001,"Sponsored parent or grandparent","Total count",15550
2002,"Sponsored parent or grandparent","Total count",17045
2003,"Sponsored parent or grandparent","Total count",14440
2004,"Sponsored parent or grandparent","Total count",9465
2005,"Sponsored parent or grandparent","Total count",9125
2006,"Sponsored parent or grandparent","Total count",15290
2007,"Sponsored parent or grandparent","Total count",12090
2008,"Sponsored parent or grandparent","Total count",12465
2009,"Sponsored parent or grandparent","Total count",12675
2010,"Sponsored parent or grandparent","Total count",11210
2011,"Sponsored parent or grandparent","Total count",10470
2012,"Sponsored parent or grandparent","Total count",16505
2013,"Sponsored parent or grandparent","Total count",24565
2014,"Sponsored parent or grandparent","Total count",13095
2015,"Sponsored parent or grandparent","Total count",11115
2016,"Sponsored parent or grandparent","Total count",11220
2001,"Sponsored parent or grandparent","Total with income",7560
2002,"Sponsored parent or grandparent","Total with income",8385
2003,"Sponsored parent or grandparent","Total with income",6485
2004,"Sponsored parent or grandparent","Total with income",4490
2005,"Sponsored parent or grandparent","Total with income",3835
2006,"Sponsored parent or grandparent","Total with income",7940
2007,"Sponsored parent or grandparent","Total with income",6455
2008,"Sponsored parent or grandparent","Total with income",5880
2009,"Sponsored parent or grandparent","Total with income",5690
2010,"Sponsored parent or grandparent","Total with income",4800
2011,"Sponsored parent or grandparent","Total with income",4225
2012,"Sponsored parent or grandparent","Total with income",6395
2013,"Sponsored parent or grandparent","Total with income",9840
2014,"Sponsored parent or grandparent","Total with income",5740
2015,"Sponsored parent or grandparent","Total with income",4810
2016,"Sponsored parent or grandparent","Total with income",4195
2001,"Sponsored parent or grandparent","Mean with income",8100
2002,"Sponsored parent or grandparent","Mean with income",8100
2003,"Sponsored parent or grandparent","Mean with income",7600
2004,"Sponsored parent or grandparent","Mean with income",8100
2005,"Sponsored parent or grandparent","Mean with income",5700
2006,"Sponsored parent or grandparent","Mean with income",8600
2007,"Sponsored parent or grandparent","Mean with income",8500
2008,"Sponsored parent or grandparent","Mean with income",7800
2009,"Sponsored parent or grandparent","Mean with income",7300
2010,"Sponsored parent or grandparent","Mean with income",7700
2011,"Sponsored parent or grandparent","Mean with income",6800
2012,"Sponsored parent or grandparent","Mean with income",7400
2013,"Sponsored parent or grandparent","Mean with income",7500
2014,"Sponsored parent or grandparent","Mean with income",8600
2015,"Sponsored parent or grandparent","Mean with income",8000
2016,"Sponsored parent or grandparent","Mean with income",8800
2001,"Sponsored parent or grandparent","Median with income",6300
2002,"Sponsored parent or grandparent","Median with income",6600
2003,"Sponsored parent or grandparent","Median with income",6200
2004,"Sponsored parent or grandparent","Median with income",6200
2005,"Sponsored parent or grandparent","Median with income",3600
2006,"Sponsored parent or grandparent","Median with income",6800
2007,"Sponsored parent or grandparent","Median with income",6900
2008,"Sponsored parent or grandparent","Median with income",5600
2009,"Sponsored parent or grandparent","Median with income",5400
2010,"Sponsored parent or grandparent","Median with income",5600
2011,"Sponsored parent or grandparent","Median with income",4600
2012,"Sponsored parent or grandparent","Median with income",5100
2013,"Sponsored parent or grandparent","Median with income",5000
2014,"Sponsored parent or grandparent","Median with income",6200
2015,"Sponsored parent or grandparent","Median with income",5400
2016,"Sponsored parent or grandparent","Median with income",5900
2001,"Other immigrant sponsored by family","Total count",960
2002,"Other immigrant sponsored by family","Total count",970
2003,"Other immigrant sponsored by family","Total count",1265
2004,"Other immigrant sponsored by family","Total count",1175
2005,"Other immigrant sponsored by family","Total count",1395
2006,"Other immigrant sponsored by family","Total count",4220
2007,"Other immigrant sponsored by family","Total count",5165
2008,"Other immigrant sponsored by family","Total count",5455
2009,"Other immigrant sponsored by family","Total count",5625
2010,"Other immigrant sponsored by family","Total count",4785
2011,"Other immigrant sponsored by family","Total count",4370
2012,"Other immigrant sponsored by family","Total count",4595
2013,"Other immigrant sponsored by family","Total count",2470
2014,"Other immigrant sponsored by family","Total count",1465
2015,"Other immigrant sponsored by family","Total count",850
2016,"Other immigrant sponsored by family","Total count",830
2001,"Other immigrant sponsored by family","Total with income",715
2002,"Other immigrant sponsored by family","Total with income",690
2003,"Other immigrant sponsored by family","Total with income",880
2004,"Other immigrant sponsored by family","Total with income",800
2005,"Other immigrant sponsored by family","Total with income",980
2006,"Other immigrant sponsored by family","Total with income",3075
2007,"Other immigrant sponsored by family","Total with income",3780
2008,"Other immigrant sponsored by family","Total with income",3985
2009,"Other immigrant sponsored by family","Total with income",3850
2010,"Other immigrant sponsored by family","Total with income",3435
2011,"Other immigrant sponsored by family","Total with income",2990
2012,"Other immigrant sponsored by family","Total with income",3425
2013,"Other immigrant sponsored by family","Total with income",1860
2014,"Other immigrant sponsored by family","Total with income",1080
2015,"Other immigrant sponsored by family","Total with income",600
2016,"Other immigrant sponsored by family","Total with income",550
2001,"Other immigrant sponsored by family","Mean with income",8100
2002,"Other immigrant sponsored by family","Mean with income",7400
2003,"Other immigrant sponsored by family","Mean with income",7400
2004,"Other immigrant sponsored by family","Mean with income",7900
2005,"Other immigrant sponsored by family","Mean with income",10900
2006,"Other immigrant sponsored by family","Mean with income",16800
2007,"Other immigrant sponsored by family","Mean with income",18100
2008,"Other immigrant sponsored by family","Mean with income",18300
2009,"Other immigrant sponsored by family","Mean with income",17600
2010,"Other immigrant sponsored by family","Mean with income",18600
2011,"Other immigrant sponsored by family","Mean with income",17600
2012,"Other immigrant sponsored by family","Mean with income",20000
2013,"Other immigrant sponsored by family","Mean with income",20700
2014,"Other immigrant sponsored by family","Mean with income",14600
2015,"Other immigrant sponsored by family","Mean with income",8100
2016,"Other immigrant sponsored by family","Mean with income",7700
2001,"Other immigrant sponsored by family","Median with income",6000
2002,"Other immigrant sponsored by family","Median with income",5100
2003,"Other immigrant sponsored by family","Median with income",5200
2004,"Other immigrant sponsored by family","Median with income",5700
2005,"Other immigrant sponsored by family","Median with income",6600
2006,"Other immigrant sponsored by family","Median with income",11700
2007,"Other immigrant sponsored by family","Median with income",12600
2008,"Other immigrant sponsored by family","Median with income",12800
2009,"Other immigrant sponsored by family","Median with income",12900
2010,"Other immigrant sponsored by family","Median with income",13500
2011,"Other immigrant sponsored by family","Median with income",12600
2012,"Other immigrant sponsored by family","Median with income",15000
2013,"Other immigrant sponsored by family","Median with income",15400
2014,"Other immigrant sponsored by family","Median with income",8500
2015,"Other immigrant sponsored by family","Median with income",6300
2016,"Other immigrant sponsored by family","Median with income",6000
2001,"Economic Immigrant, principal applicant","Total count",53180
2002,"Economic Immigrant, principal applicant","Total count",46145
2003,"Economic Immigrant, principal applicant","Total count",39465
2004,"Economic Immigrant, principal applicant","Total count",41605
2005,"Economic Immigrant, principal applicant","Total count",45110
2006,"Economic Immigrant, principal applicant","Total count",42140
2007,"Economic Immigrant, principal applicant","Total count",40990
2008,"Economic Immigrant, principal applicant","Total count",47005
2009,"Economic Immigrant, principal applicant","Total count",49465
2010,"Economic Immigrant, principal applicant","Total count",59970
2011,"Economic Immigrant, principal applicant","Total count",50745
2012,"Economic Immigrant, principal applicant","Total count",55440
2013,"Economic Immigrant, principal applicant","Total count",54005
2014,"Economic Immigrant, principal applicant","Total count",67495
2015,"Economic Immigrant, principal applicant","Total count",66445
2016,"Economic Immigrant, principal applicant","Total count",58565
2001,"Economic Immigrant, principal applicant","Total with income",38165
2002,"Economic Immigrant, principal applicant","Total with income",33100
2003,"Economic Immigrant, principal applicant","Total with income",27110
2004,"Economic Immigrant, principal applicant","Total with income",29890
2005,"Economic Immigrant, principal applicant","Total with income",34160
2006,"Economic Immigrant, principal applicant","Total with income",32815
2007,"Economic Immigrant, principal applicant","Total with income",32445
2008,"Economic Immigrant, principal applicant","Total with income",37660
2009,"Economic Immigrant, principal applicant","Total with income",38060
2010,"Economic Immigrant, principal applicant","Total with income",46035
2011,"Economic Immigrant, principal applicant","Total with income",39285
2012,"Economic Immigrant, principal applicant","Total with income",43910
2013,"Economic Immigrant, principal applicant","Total with income",44385
2014,"Economic Immigrant, principal applicant","Total with income",58185
2015,"Economic Immigrant, principal applicant","Total with income",57630
2016,"Economic Immigrant, principal applicant","Total with income",51845
2001,"Economic Immigrant, principal applicant","Mean with income",18500
2002,"Economic Immigrant, principal applicant","Mean with income",18700
2003,"Economic Immigrant, principal applicant","Mean with income",19200
2004,"Economic Immigrant, principal applicant","Mean with income",24100
2005,"Economic Immigrant, principal applicant","Mean with income",22100
2006,"Economic Immigrant, principal applicant","Mean with income",27300
2007,"Economic Immigrant, principal applicant","Mean with income",30800
2008,"Economic Immigrant, principal applicant","Mean with income",31900
2009,"Economic Immigrant, principal applicant","Mean with income",33500
2010,"Economic Immigrant, principal applicant","Mean with income",30900
2011,"Economic Immigrant, principal applicant","Mean with income",30900
2012,"Economic Immigrant, principal applicant","Mean with income",35000
2013,"Economic Immigrant, principal applicant","Mean with income",36900
2014,"Economic Immigrant, principal applicant","Mean with income",41800
2015,"Economic Immigrant, principal applicant","Mean with income",41600
2016,"Economic Immigrant, principal applicant","Mean with income",42900
2001,"Economic Immigrant, principal applicant","Median with income",8900
2002,"Economic Immigrant, principal applicant","Median with income",9400
2003,"Economic Immigrant, principal applicant","Median with income",8500
2004,"Economic Immigrant, principal applicant","Median with income",9700
2005,"Economic Immigrant, principal applicant","Median with income",10300
2006,"Economic Immigrant, principal applicant","Median with income",13000
2007,"Economic Immigrant, principal applicant","Median with income",14500
2008,"Economic Immigrant, principal applicant","Median with income",17300
2009,"Economic Immigrant, principal applicant","Median with income",18700
2010,"Economic Immigrant, principal applicant","Median with income",17400
2011,"Economic Immigrant, principal applicant","Median with income",17700
2012,"Economic Immigrant, principal applicant","Median with income",22200
2013,"Economic Immigrant, principal applicant","Median with income",25300
2014,"Economic Immigrant, principal applicant","Median with income",29300
2015,"Economic Immigrant, principal applicant","Median with income",30200
2016,"Economic Immigrant, principal applicant","Median with income",31200
2001,"Skilled worker and skilled trades, principal applicant","Total count",47845
2002,"Skilled worker and skilled trades, principal applicant","Total count",41740
2003,"Skilled worker and skilled trades, principal applicant","Total count",34455
2004,"Skilled worker and skilled trades, principal applicant","Total count",35425
2005,"Skilled worker and skilled trades, principal applicant","Total count",37255
2006,"Skilled worker and skilled trades, principal applicant","Total count",32140
2007,"Skilled worker and skilled trades, principal applicant","Total count",30050
2008,"Skilled worker and skilled trades, principal applicant","Total count",31150
2009,"Skilled worker and skilled trades, principal applicant","Total count",28820
2010,"Skilled worker and skilled trades, principal applicant","Total count",35365
2011,"Skilled worker and skilled trades, principal applicant","Total count",26620
2012,"Skilled worker and skilled trades, principal applicant","Total count",29185
2013,"Skilled worker and skilled trades, principal applicant","Total count",26380
2014,"Skilled worker and skilled trades, principal applicant","Total count",22425
2015,"Skilled worker and skilled trades, principal applicant","Total count",24675
2016,"Skilled worker and skilled trades, principal applicant","Total count",24285
2001,"Skilled worker and skilled trades, principal applicant","Total with income",33960
2002,"Skilled worker and skilled trades, principal applicant","Total with income",29570
2003,"Skilled worker and skilled trades, principal applicant","Total with income",22880
2004,"Skilled worker and skilled trades, principal applicant","Total with income",24680
2005,"Skilled worker and skilled trades, principal applicant","Total with income",27420
2006,"Skilled worker and skilled trades, principal applicant","Total with income",24050
2007,"Skilled worker and skilled trades, principal applicant","Total with income",22670
2008,"Skilled worker and skilled trades, principal applicant","Total with income",23265
2009,"Skilled worker and skilled trades, principal applicant","Total with income",19230
2010,"Skilled worker and skilled trades, principal applicant","Total with income",23840
2011,"Skilled worker and skilled trades, principal applicant","Total with income",17650
2012,"Skilled worker and skilled trades, principal applicant","Total with income",19975
2013,"Skilled worker and skilled trades, principal applicant","Total with income",18605
2014,"Skilled worker and skilled trades, principal applicant","Total with income",15480
2015,"Skilled worker and skilled trades, principal applicant","Total with income",17995
2016,"Skilled worker and skilled trades, principal applicant","Total with income",19505
2001,"Skilled worker and skilled trades, principal applicant","Mean with income",18700
2002,"Skilled worker and skilled trades, principal applicant","Mean with income",18700
2003,"Skilled worker and skilled trades, principal applicant","Mean with income",18400
2004,"Skilled worker and skilled trades, principal applicant","Mean with income",22900
2005,"Skilled worker and skilled trades, principal applicant","Mean with income",20700
2006,"Skilled worker and skilled trades, principal applicant","Mean with income",25000
2007,"Skilled worker and skilled trades, principal applicant","Mean with income",29500
2008,"Skilled worker and skilled trades, principal applicant","Mean with income",29700
2009,"Skilled worker and skilled trades, principal applicant","Mean with income",28100
2010,"Skilled worker and skilled trades, principal applicant","Mean with income",23900
2011,"Skilled worker and skilled trades, principal applicant","Mean with income",21100
2012,"Skilled worker and skilled trades, principal applicant","Mean with income",24300
2013,"Skilled worker and skilled trades, principal applicant","Mean with income",26400
2014,"Skilled worker and skilled trades, principal applicant","Mean with income",30200
2015,"Skilled worker and skilled trades, principal applicant","Mean with income",29200
2016,"Skilled worker and skilled trades, principal applicant","Mean with income",39400
2001,"Skilled worker and skilled trades, principal applicant","Median with income",8500
2002,"Skilled worker and skilled trades, principal applicant","Median with income",9000
2003,"Skilled worker and skilled trades, principal applicant","Median with income",7500
2004,"Skilled worker and skilled trades, principal applicant","Median with income",8500
2005,"Skilled worker and skilled trades, principal applicant","Median with income",9200
2006,"Skilled worker and skilled trades, principal applicant","Median with income",11100
2007,"Skilled worker and skilled trades, principal applicant","Median with income",12000
2008,"Skilled worker and skilled trades, principal applicant","Median with income",13000
2009,"Skilled worker and skilled trades, principal applicant","Median with income",11200
2010,"Skilled worker and skilled trades, principal applicant","Median with income",10700
2011,"Skilled worker and skilled trades, principal applicant","Median with income",9800
2012,"Skilled worker and skilled trades, principal applicant","Median with income",11100
2013,"Skilled worker and skilled trades, principal applicant","Median with income",12900
2014,"Skilled worker and skilled trades, principal applicant","Median with income",14400
2015,"Skilled worker and skilled trades, principal applicant","Median with income",15900
2016,"Skilled worker and skilled trades, principal applicant","Median with income",24800
2001,"Canadian experience class, principal applicant","Total count",NA
2002,"Canadian experience class, principal applicant","Total count",NA
2003,"Canadian experience class, principal applicant","Total count",NA
2004,"Canadian experience class, principal applicant","Total count",NA
2005,"Canadian experience class, principal applicant","Total count",NA
2006,"Canadian experience class, principal applicant","Total count",NA
2007,"Canadian experience class, principal applicant","Total count",NA
2008,"Canadian experience class, principal applicant","Total count",NA
2009,"Canadian experience class, principal applicant","Total count",1600
2010,"Canadian experience class, principal applicant","Total count",2235
2011,"Canadian experience class, principal applicant","Total count",3575
2012,"Canadian experience class, principal applicant","Total count",5280
2013,"Canadian experience class, principal applicant","Total count",3970
2014,"Canadian experience class, principal applicant","Total count",13090
2015,"Canadian experience class, principal applicant","Total count",10255
2016,"Canadian experience class, principal applicant","Total count",8680
2001,"Canadian experience class, principal applicant","Total with income",NA
2002,"Canadian experience class, principal applicant","Total with income",NA
2003,"Canadian experience class, principal applicant","Total with income",NA
2004,"Canadian experience class, principal applicant","Total with income",NA
2005,"Canadian experience class, principal applicant","Total with income",NA
2006,"Canadian experience class, principal applicant","Total with income",NA
2007,"Canadian experience class, principal applicant","Total with income",NA
2008,"Canadian experience class, principal applicant","Total with income",NA
2009,"Canadian experience class, principal applicant","Total with income",1550
2010,"Canadian experience class, principal applicant","Total with income",2165
2011,"Canadian experience class, principal applicant","Total with income",3475
2012,"Canadian experience class, principal applicant","Total with income",5115
2013,"Canadian experience class, principal applicant","Total with income",3850
2014,"Canadian experience class, principal applicant","Total with income",12820
2015,"Canadian experience class, principal applicant","Total with income",10060
2016,"Canadian experience class, principal applicant","Total with income",8515
2001,"Canadian experience class, principal applicant","Mean with income",NA
2002,"Canadian experience class, principal applicant","Mean with income",NA
2003,"Canadian experience class, principal applicant","Mean with income",NA
2004,"Canadian experience class, principal applicant","Mean with income",NA
2005,"Canadian experience class, principal applicant","Mean with income",NA
2006,"Canadian experience class, principal applicant","Mean with income",NA
2007,"Canadian experience class, principal applicant","Mean with income",NA
2008,"Canadian experience class, principal applicant","Mean with income",NA
2009,"Canadian experience class, principal applicant","Mean with income",62600
2010,"Canadian experience class, principal applicant","Mean with income",79300
2011,"Canadian experience class, principal applicant","Mean with income",64700
2012,"Canadian experience class, principal applicant","Mean with income",64700
2013,"Canadian experience class, principal applicant","Mean with income",64200
2014,"Canadian experience class, principal applicant","Mean with income",65000
2015,"Canadian experience class, principal applicant","Mean with income",71200
2016,"Canadian experience class, principal applicant","Mean with income",65800
2001,"Canadian experience class, principal applicant","Median with income",NA
2002,"Canadian experience class, principal applicant","Median with income",NA
2003,"Canadian experience class, principal applicant","Median with income",NA
2004,"Canadian experience class, principal applicant","Median with income",NA
2005,"Canadian experience class, principal applicant","Median with income",NA
2006,"Canadian experience class, principal applicant","Median with income",NA
2007,"Canadian experience class, principal applicant","Median with income",NA
2008,"Canadian experience class, principal applicant","Median with income",NA
2009,"Canadian experience class, principal applicant","Median with income",41100
2010,"Canadian experience class, principal applicant","Median with income",45000
2011,"Canadian experience class, principal applicant","Median with income",44200
2012,"Canadian experience class, principal applicant","Median with income",44600
2013,"Canadian experience class, principal applicant","Median with income",48000
2014,"Canadian experience class, principal applicant","Median with income",48700
2015,"Canadian experience class, principal applicant","Median with income",49800
2016,"Canadian experience class, principal applicant","Median with income",47700
2001,"Provincial/territorial nominee, principal applicant","Total count",370
2002,"Provincial/territorial nominee, principal applicant","Total count",620
2003,"Provincial/territorial nominee, principal applicant","Total count",1275
2004,"Provincial/territorial nominee, principal applicant","Total count",1855
2005,"Provincial/territorial nominee, principal applicant","Total count",2330
2006,"Provincial/territorial nominee, principal applicant","Total count",4165
2007,"Provincial/territorial nominee, principal applicant","Total count",5690
2008,"Provincial/territorial nominee, principal applicant","Total count",7500
2009,"Provincial/territorial nominee, principal applicant","Total count",10685
2010,"Provincial/territorial nominee, principal applicant","Total count",12540
2011,"Provincial/territorial nominee, principal applicant","Total count",13655
2012,"Provincial/territorial nominee, principal applicant","Total count",15625
2013,"Provincial/territorial nominee, principal applicant","Total count",17405
2014,"Provincial/territorial nominee, principal applicant","Total count",19180
2015,"Provincial/territorial nominee, principal applicant","Total count",19370
2016,"Provincial/territorial nominee, principal applicant","Total count",17930
2001,"Provincial/territorial nominee, principal applicant","Total with income",315
2002,"Provincial/territorial nominee, principal applicant","Total with income",525
2003,"Provincial/territorial nominee, principal applicant","Total with income",1075
2004,"Provincial/territorial nominee, principal applicant","Total with income",1630
2005,"Provincial/territorial nominee, principal applicant","Total with income",2040
2006,"Provincial/territorial nominee, principal applicant","Total with income",3705
2007,"Provincial/territorial nominee, principal applicant","Total with income",5190
2008,"Provincial/territorial nominee, principal applicant","Total with income",6870
2009,"Provincial/territorial nominee, principal applicant","Total with income",9765
2010,"Provincial/territorial nominee, principal applicant","Total with income",11110
2011,"Provincial/territorial nominee, principal applicant","Total with income",12055
2012,"Provincial/territorial nominee, principal applicant","Total with income",14065
2013,"Provincial/territorial nominee, principal applicant","Total with income",16195
